127.0.0.1 - - [30/Mar/2018:22:57:33 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:57 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:57 -0300] "GET /angularjs_spring_mvc/publico/login.html HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-checkbox-radio.js HTTP/1.1" 200 6978
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/demo.js HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/demo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/animate.min.css HTTP/1.1" 200 55523
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js HTTP/1.1" 200 36026
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/paper-dashboard.css HTTP/1.1" 200 90171
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-1.10.2.js HTTP/1.1" 200 273198
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/css/themify-icons.css HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:58 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [30/Mar/2018:22:57:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "POST /angularjs_spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "GET /angularjs_spring_mvc/resources/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "GET /angularjs_spring_mvc/resources/js/app2.js HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "GET /angularjs_spring_mvc/resources/js/angular-resource.js HTTP/1.1" 200 35267
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:52 -0300] "GET /angularjs_spring_mvc/resources/js/angular-animate.js HTTP/1.1" 200 150567
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:53 -0300] "GET /angularjs_spring_mvc/resources/js/angular-locale_pt-br.js HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:53 -0300] "GET /angularjs_spring_mvc/resources/js/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:54 -0300] "GET /angularjs_spring_mvc/agenda/autenticar HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:54 -0300] "GET /angularjs_spring_mvc/inicialBarbeiro.html HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:54 -0300] "GET /angularjs_spring_mvc/resources/js/agendaControllerBarbeiro.js HTTP/1.1" 200 6425
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:54 -0300] "GET /angularjs_spring_mvc/resources/js/dirPagination.js HTTP/1.1" 200 27701
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:55 -0300] "GET /angularjs_spring_mvc/resources/img/Barber-pole-01.gif HTTP/1.1" 200 866125
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:55 -0300] "GET /angularjs_spring_mvc/resources/img/logoff-icon.png HTTP/1.1" 200 9902
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:55 -0300] "GET /angularjs_spring_mvc/agendaBarbeiro/list.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:56 -0300] "GET /angularjs_spring_mvc/resources/img/ok.jpg HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:56 -0300] "GET /angularjs_spring_mvc/resources/img/delete-icon.png HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:56 -0300] "GET /angularjs_spring_mvc/%7B%7Bagenda.cliente.foto%7D%7D HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Mar/2018:23:00:56 -0300] "GET /angularjs_spring_mvc/agenda/listarBarbeiro HTTP/1.1" 200 2
