0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/angular-locale_pt-br.js HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-checkbox-radio.js HTTP/1.1" 200 6978
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-1.10.2.js HTTP/1.1" 200 273198
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js HTTP/1.1" 200 36026
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/demo.js HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/demo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/animate.min.css HTTP/1.1" 200 55523
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/paper-dashboard.css HTTP/1.1" 200 90171
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/app2.js HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/agendaController.js HTTP/1.1" 200 7921
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/equipamentoController.js HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/dirPagination.js HTTP/1.1" 200 27701
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/css/themify-icons.css HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:38 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:39 -0300] "GET /angularjs_spring_mvc/resources/img/logoff-icon.png HTTP/1.1" 200 9902
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/equipamento/cadastro.html HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/equipamento/recuperar/11 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/equipamento/list.html HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
